"カードのタイトル","年","月","日","カードのナンバー","出来事の概要","画像ファイル名","画像情報"
"宇宙移民の開始とラプラス事件",1,1,1,1,"地球連邦政府が宇宙移民政策を開始し、人類の総人口が90億人を突破した宇宙世紀元年元日、地球連邦首相官邸「ラプラス」が爆破されるテロ事件が発生。初代首相らが死亡し、連邦政府は反政府運動の弾圧を強化する。残骸からは後に「ラプラスの箱」と呼ばれるものが発見される。","No (1)","Character: Ricardo Marcenas (middle-aged man, formal suit, stern expression), Siam (young man, poor clothing, determined look). Scene: Earth low orbit, day. Atmosphere: Political tension, tragedy, a mix of hope and despair. Vehicles: The remnants of Laplace station floating in space, a civilian ship rescuing Siam. Other: The Laplace box faintly visible among the debris. Composition: Medium shot showing the explosion of Laplace in the background, with Siam being rescued in the foreground."
"ジオン・ズム・ダイクン誕生",9,0,0,2,"UC0009年、宇宙移民の権利と自治を提唱し、後にジオニズムの中心的人物となるジオン・ズム・ダイクンが誕生する。","No (2)","Character: Zeon Zum Deikun (baby). Scene: Simple living space, warm light. Atmosphere: Hopeful beginning. Composition: Close-up on the baby."
"初の月面都市フォン・ブラウン完成",27,0,0,3,"UC0027年、月面に初の恒久都市「フォン・ブラウン市」が完成する。これは宇宙移民の定住化が進んでいることを示す。","No (3)","Scene: Moon surface, view of a large domed city. Time: Day. Atmosphere: Scientific achievement, progress, a sense of establishing a new home. Composition: Wide shot showing the city against the lunar landscape and Earth in the distance."
"宇宙移民人口の増加とエレズムの発生",44,0,0,4,"UC0044年頃、地球の総人口が110億人に達し、その半数（50億人）が宇宙に移住。これに対し、地球を聖地とする「エレズム」が発生する。また、モビルスーツの概念が提唱される。","No (4)","Scene: Contrast between overcrowded Earth cities and growing space colonies. Atmosphere: Social division, conflicting ideologies. Other: Abstract visual representation of population statistics or migration flow. Composition: Split screen or contrasting images."
"ジオニズム提唱とミノフスキー物理学会設立",45,0,0,5,"UC0045年、ジオン・ズム・ダイクンが宇宙移民の自治権確立を目指す思想「コントリズム」（後にジオニズムと呼ばれる）を提唱する。サイド3ではミノフスキー物理学学会が設立される。","No (5)","Character: Zeon Zum Deikun (adult, speaking passionately, charismatic). Scene: Public gathering space within a colony. Atmosphere: Political awakening, intellectual pursuit. Other: Diagram or representation of Minovsky physics concept. Composition: Medium shot of Deikun speaking, with a crowd listening and scientific symbols integrated."
"MS-01完成とRX計画開始",46,0,0,6,"UC0046年、ジオンは最初の実用的なモビルスーツMS-01を完成させる。これに対抗し、地球連邦軍は新型モビルスーツ開発のための「RX計画」を開始する。","No (6)","Vehicle: MS-01 (early model, rough design, imposing). Scene: Factory or testing ground within a colony. Atmosphere: Technological innovation, military race. Other: Blueprints or schematics of the RX plan in a sterile lab. Composition: Split view showing the completed MS-01 on one side and scientists working on RX plans on the other."
"宇宙移民人口の過半数到達と新規コロニー凍結",50,0,0,7,"UC0050年、宇宙移民人口が90億人を突破し、地球圏総人口110億人のうち90億人が宇宙に移民。これを受け、地球連邦政府は新規スペースコロニー建設の凍結を発表し、宇宙移民の不満を高める。","No (7)","Scene: Vast numbers of space colonies seen from a distance. Atmosphere: Growing spatial separation, political friction. Other: Official document or announcement graphic showing the construction freeze. Composition: Wide shot of colony clusters with a close-up on the freeze announcement."
"ジオン公国独立宣言",58,0,0,8,"UC0058年、サイド3はジオン・ズム・ダイクンを首班とするジオン共和国として地球連邦政府からの独立を宣言する。これに対抗し、ジオン国防隊が発足する。","No (8)","Character: Zeon Zum Deikun (leader figure, confident). Scene: Formal assembly hall in Side 3. Atmosphere: Declaration of independence, political fervor. Composition: Medium shot of Deikun at a podium, flag of the Republic of Zeon in the background."
"ジオン・ズム・ダイクン死去とザビ家台頭",68,0,0,9,"UC0068年、ジオン・ズム・ダイクンが死去（暗殺説あり）。デギン・ソド・ザビが次期首相となり、ザビ家が権力を掌握。ダイクン派とザビ派の対立が激化し、サスロ・ザビが暗殺される。","No (9)","Character: Zeon Zum Deikun (deceased, peaceful but significant). Scene: Somber room, possibly a wake or funeral. Atmosphere: Loss, political intrigue, shifting power. Composition: Focus on Deikun's figure with shadowy figures (representing the Zabis) in the background."
"ジオン公国制移行とザビ家による粛清",69,0,0,10,"UC0069年、ジオン共和国は公国制に移行し、デギン・ソド・ザビが公王を名乗る。ザビ家は権力を完全に掌握し、ダイクン派の粛清を行う。キャスバルとアルテイシアは地球へ逃れる。","No (10)","Character: Degwin Sodo Zabi (regal, authoritative). Scene: Grand hall, symbolic of power. Atmosphere: Authoritarian takeover, end of a republic. Other: A depiction of the Zabi family crest or emblem. Composition: Low angle shot of Degwin on a throne or platform."
